name,region,governorate,address,contact,email,map_x,map_y
CHARGUIA,Grand Tunis,tunis,42 Rue 8600 Z.I Charguia 1-Tunis 2035 - Cité El Khadhra,"71,127,337",ag.charguia@bhbank.tn,187,113
CHARGUIA II,Grand Tunis,tunis,08 Rue des industries artisanales - 2035 La Charguia II,"71,127,395",ag.charguia2@bhbank.tn,185,113
CHEDLY KALLALA,Grand Tunis,tunis,Angle de l'avenue Chedly Kallela et de la rue Oman,"71,127,471",ag.chedlykallala@bhbank.tn,183,115
CITE EZZOUHOUR,Grand Tunis,tunis,14 Avenue 13 Aoà»t - cité Ezzouhour,"71,127,430",ag.ezzouhour@bhbank.tn,183,116
DJEBEL EL OUEST,Grand Tunis,manouba,"12 Avenue Tahar Ayari, DJEBEL EL OUEST - ZAGHOUAN.","71,127,456",ag.jebeleloust@bhbank.tn,184,116
EL GHAZELA,Grand Tunis,ariana,14 angle rues hasDIRECTION REGIONALEubal et Ammar DAKHLAOUI -Cité El Ghazela,"71,127,424",ag.elghazala@bhbank.tn,181,110
EL M'GHIRA,Grand Tunis,tunis,"12 Centre de vie, Zone Ind M'ghira 3 -2082 - Fouchana","71,127,324",ag.elmghira@bhbank.tn,185,115
EL MOUROUJ,Grand Tunis,ben arous,02 Avenue Habib Thameur Imm-Mahou 2308 - El Mourouj,"71,127,331",ag.elmourouj@bhbank.tn,186,117
EL MOUROUJ 5,Grand Tunis,ben arous,08 Avenue 14 Janvier - Mourouj V 2308 - El Mourouj,"71,127,325",ag.elmourouj5@bhbank.tn,186,118
EL YASMINETTE,Grand Tunis,ben arous,"02 Angle de la Rue Ibn Roched et la Route de Mornag, El Yasminette, BEN AROUS","71,127,438",ag.yasminett@bhbank.tn,186,118
ENNASR 1,Grand Tunis,ariana,12 Avenue de l'Ere Nlle Résidence Salambo 2100 - L'Ariana,"71,127,275",ag.ennacer@bhbank.tn,185,110
ENNASR 2,Grand Tunis,ariana,"18 Résidence TEJ, Immeuble B, Route Etturki, Ennasser II, Ariana","71,127,452",ag.ennasr2@bhbank.tn,184,113
EZZAHRA,Grand Tunis,ben arous,08 Angle Avenue Habib Bourguiba et rue 25 juillet -2034 - Ezzahra,"71,127,252",ag.ezzahra@bhbank.tn,186,118
HABIB BOURGUIBA,Grand Tunis,tunis,05 Angle Avenue Habib Bourguiba et avenue de Paris 1001 - Tunis Médina,"71,127,230",succursale2@bhbank.tn,184,115
HAMMAM CHOTT,Grand Tunis,ben arous,20 Résidence Imen - 2310 - Hammam Chott,"71,127,271",ag.hammamchatt@bhbank.tn,186,117
HAMMAM SOUSSE,Grand Tunis,tunis,22 Route de Tunis GP1 - 4011 - H. Sousse,"71,127,302",ag.hammamsousse@bhbank.tn,186,113
HAMMAM-LIF,Grand Tunis,ben arous,14 Avenue de la République -2050 - Hammam-Lif,"71,127,224",a.hammamlif@bhbank.tn,185,117
HEDI CHAKER,Grand Tunis,tunis,85 Avenue Hédi Chaker -1002 - Tunis Bélvedére,"71,127,308",ag.diplomat@bhbank.tn,184,115
INTERNATIONAL,Grand Tunis,tunis,"11 Espace Tunis, Immeuble K- Montplaisir -1002 - Tunis Bélvedére","71,127,244",ag.internationale@bhbank.tn,186,118
JARDINS D'EL MENZAH,Grand Tunis,ariana,"10 Avenue Les Jasmins, Res Marajene - 2094- Mnihla","71,127,313",ag.jardins-elmenzah@bhbank.tn,182,114
JARDINS DE CARTHAGE,Grand Tunis,tunis,"08 Résidence ""Horizons de Carthage"" Lot EHC - Les Jardins de Carthage","71,127,426",ag.jardincarthage@bhbank.tn,187,114
KHAZNADAR,Grand Tunis,tunis,08 Avenue de L'independance Immeuble Star - 2000 - Le Bardo,"71,127,341",ag.khaznadar@bhbank.tn,187,113
KHEIREDINE,Grand Tunis,tunis,117 Avenue Habib Bourguiba - 2015- Le Kram,"71,127,245",ag.kheireddine@bhbank.tn,186,116
L'AOUINA,Grand Tunis,tunis,02 RÃ©sidence Jannet II Route RVE 544 -2045 - La Goulette,,,185,115
LA MANOUBA,Grand Tunis,manouba,50 Avenue Habib Bourguiba - 2010- La Manouba,"71,127,290",ag.manouba@bhbank.tn,183,117
LA MARSA,Grand Tunis,tunis,08 Avenue Habib Bourguiba La Marsa 2070 - La Marsa,"71,127,227",ag.marsa@bhbank.tn,185,112
LA SOUKRA,Grand Tunis,ariana,22 Avenue de l'U.M.A. Résidence Soukra City,"71,127,422",ag.soukra@bhbank.tn,185,109
LE BARDO,Grand Tunis,tunis,60 Avenue Habib Bougatfa - Le Bardo - 2000 - Tunis,"71,127,343",a.lebardo@bhbank.tn,185,113
LE KRAM,Grand Tunis,tunis,155 Bis Avenue Habib Bourguiba Le Kram 2015 - Tunis,"71,127,267",ag.lekram@bhbank.tn,187,113
LES BERGES DU LAC 2,Grand Tunis,tunis,06 Immeuble ACCESS - Angle de l'avenue de la Monnaie et rue iles des Canaries - Les Berges du Lac 2,"71,127,428",ag.lac2@bhbank.tn,183,112
LES BERGES DU LAC I,Grand Tunis,tunis,"05 Residence Essaad, rue Lac Leman -1035 Les Berges du Lac","71,127,322",ag.lac1@bhbank.tn,186,115
M'HAMDIA,Grand Tunis,tunis,N°20 GP3 M'hamdia Center 1145 - M'hamdia,,,182,114
MANAR II,Grand Tunis,tunis,"5, Rue Tahar Ben ammar - 2092 - Manar II","71,127,388",ag.manar2@bhbank.tn,185,117
MANZAH 5,Grand Tunis,ariana,"08 Avenue de la Liberté, Kssar Tej, EL Menzah 5, Ariana.","71,127,446",agencecarnoy@bhbank.tn,185,113
Marsa Ville,Grand Tunis,tunis,"24 Avenue Taieb Mhiri, la Marsa","71,127,476",ag.marsaville@bhbank.tn,185,116
MEGRINE,Grand Tunis,ben arous,02 Avenue Habib Bourguiba - 2033 - Mégrine,"71,127,222",ag.megrine@bhbank.tn,186,118
MENZAH 6,Grand Tunis,ariana,3 rue Cheikh Med Zaghouani - 1091 - El Menzah,"71,127,333",ag.elmenzahv@bhbank.tn,183,113
MENZAH 8,Grand Tunis,ariana,"22 Angle de l'avenue Mustapha Hjeij et de la Rue kehna, EL MENZAH 8, ARIANA","71,127,444",ag.elmenzah8@bhbank.tn,184,113
MENZAH IV,Grand Tunis,ariana,"2, Angle de la rue Ibn Syrine et avenue Habib Bourguiba 1004 Menzah 4","71,127,386",ag.menzah4@bhbank.tn,185,112
MUTUELLE VILLE,Grand Tunis,tunis,"12 Angle avenue Jugurta et rue Sanhaja, Mutuelle ville Tunis","71,127,442",ag.mutuelleville@bhbank.tn,186,115
NOUVELLE MEDINA,Grand Tunis,ben arous,304 Avenue Faycal Ibn Abdelaziz - 2063 - Nlle Médina,"71,127,225",ag.nouvellemedina@bhbank.tn,184,119
RADES,Grand Tunis,ben arous,NÂ°5 Radés Cité Sportive 2040 - Radés,"71,127,250",ag.rades@bhbank.tn,183,119
SFAX SAKIT EZZIT,Grand Tunis,tunis,48 Route Tunis Km 8 Centre EsseDIRECTION REGIONALEa -3014 - Sfax Sakiet Ezziet,"71,127,293",a.sekietezzit@bhbank.tn,184,113
SIDI DAOUED,Grand Tunis,tunis,20 Route de La Marsa - 2046- Sidi Daoued,"71,127,356",ag.sididaoued@bhbank.tn,182,113
SIDI HCIN SIJOUMI,Grand Tunis,tunis,113 Rue 42800 Route El Attar 1095 - Sidi H Sijoumi,"71,127,309",ag.sidihssinesijoumi@bhbank.tn,184,116
SUCCURSALE KHEIREDDINE PACHA,Grand Tunis,tunis,21 Avenue Khereddine Pacha -Tunis Bélvedére -1002,"71,126,722",succursale1@bhbank.tn,186,115
AOUSJA,Cap Bon & Nord,bizerte,12 Avenue de L'environnement 7014 - Ghar El Melh,"71,127,307",ag.aousja@bhbank.tn,173,91
BEJA,Cap Bon & Nord,beja,20 Angle Avenue Habib Bourguiba rue Tarek Ibn Zied - 9000 - Beja,"71,127,289",ag.beja@bhbank.tn,152,120
BENI KHALLED,Cap Bon & Nord,nabeul,BENI KHALLED NABEUL,,,204,135
BIZERTE ERRAWABI,Cap Bon & Nord,bizerte,16 Avenue 15 Octobre Cité Rawebi - 7000 - Bizerte Nord,"71,127,335",a.rawebi@bhbank.tn,172,91
BIZERTE IBN KHALDOUN,Cap Bon & Nord,bizerte,08 Angle Rue d'Alger et rue d'Espagne 7000 - Bizerte Nord,"71,127,315",ag.bizerteibnkhaldoun@bhbank.tn,175,88
BIZERTE THAALBI,Cap Bon & Nord,bizerte,62 Angle Avenue Habib Bourguiba Et rue Thaalbi -7000 - Bizerte Nord,"71,127,347",ag.bizertethaalbi@bhbank.tn,175,92
BOUFICHA,Cap Bon & Nord,nabeul,12 Avenue de l'environnement - 4010- Bouficha,"71,127,235",ag.bouficha@bhbank.tn,202,133
BOUSALEM,Cap Bon & Nord,beja,08 Avenue. 20 Mars 1934 - 8170 - Boussalem,"71,127,241",a.boussalem@bhbank.tn,153,116
Centre d'Affaires Bizerte,Cap Bon & Nord,bizerte,Angle de la rue d'Espagne et de l'Avenue Farhat Hached,"31,261,007",thouraya.kamoun@bhbank.tn,174,89
DAR CHAABANE,Cap Bon & Nord,nabeul,40 Boulevard de l'environnement Dar Chaabane Plage 8075 - Dar Chaabane El Fehri,"71,127,316",ag.darchaaben@bhbank.tn,203,134
EL KEF,Cap Bon & Nord,kef,08 Boulevard Mongi Slim -7100 - Le Kef,"71,127,231",ag.lekef@bhbank.tn,135,149
ETTADHAMEN,Cap Bon & Nord,bizerte,"12 Route de Bizerte km 3,5- Cité El Intilaka 2094 -M'nihla","71,127,247",a.ettadhamen@bhbank.tn,176,94
GROMBELIA,Cap Bon & Nord,nabeul,08 Avenue Habib Bourguiba - 8030- Grombalia,"71,127,278",ag.grombalia@bhbank.tn,203,134
HAMMAMET,Cap Bon & Nord,nabeul,10 Avenue Habib Bourguiba 8050 - Hammamet,"71,127,243",ag.hammamet@bhbank.tn,201,134
JENDOUBA,Cap Bon & Nord,jendouba,61 Avenue Hédi Chaker -8100- Jendouba,"71,127,360",ag.jendouba@bhbank.tn,138,134
KELIBIA,Cap Bon & Nord,nabeul,Avenue des Martyrs - 8090 - Kélibia,"71,127,233",ag.kelibia@bhbank.tn,203,134
KORBA,Cap Bon & Nord,nabeul,18 Avenue Habib Bourguiba - 8070- Korba,"71,127,339",a.korba@bhbank.tn,206,130
M'NIHLA,Cap Bon & Nord,bizerte,06 route de bizerte km 8- M'nihla,"71,127,420",ag.mnihla@bhbank.tn,173,91
MATEUR,Cap Bon & Nord,bizerte,18 Avenue Taieb Mhiri 7030 - Mateur,"71,127,306",ag.mateur@bhbank.tn,177,91
MEDJEZ ELBAB,Cap Bon & Nord,beja,22 Avenue Habib Bourguiba - 9070 - Mjez El Bab,"71,127,249",ag.mejazelbab@bhbank.tn,152,117
MENZEL ABDERRAHMEN,Cap Bon & Nord,bizerte,07 Avenue Habib Bourguiba- Route Manzel Jemil 7035 - Menzel Jmil,"71,127,345",a.menzelabderrahmen@bhbank.tn,176,87
MENZEL BOURGUIBA,Cap Bon & Nord,bizerte,05 Avenue de l'independance 7050 - Menzel Bourguiba,"71,127,268",ag.menzelbourguiba@bhbank.tn,177,87
MENZEL TEMIME,Cap Bon & Nord,nabeul,06 Avenue de l'environnement - 8080 - Menzel Temime,"71,127,326",ag.menzeltemime@bhbank.tn,205,133
MREZGA,Cap Bon & Nord,nabeul,02 Résidence AGORAMIS - 8050 Mrezga,"71,127,407",ag.mrazga@bhbank.tn,203,132
NABEUL,Cap Bon & Nord,nabeul,30 Avenue Habib Bourguiba - 8000- Nabeul,"71,127,277",ag.nabeul@bhbank.tn,205,138
NEFZA,Cap Bon & Nord,beja,"06 Avenue Habib Bourguiba, NEFZA, BEJA.","71,127,450",ag.nefza@bhbank.tn,152,121
RAFRAF,Cap Bon & Nord,bizerte,14 Place Rmila - Rafraf 7015 - Ras Jbel,"71,127,305",ag.rafraf@bhbank.tn,178,88
RAS JEBEL,Cap Bon & Nord,bizerte,12 Rue Hassen Belkhouja -7070- Ras Jebel,"71,127,354",ag.rasjebel@bhbank.tn,175,92
SFAX Cdt BEJAOUI,Cap Bon & Nord,beja,10 Rue CommandantBejaoui -3000- Sfax Ville,"71,127,215",ag.sfaxbejaoui@bhbank.tn,153,120
SILIANA,Cap Bon & Nord,siliana,02 Avenue 18 Janvier 1952- 6100 - Siliana,"71,127,298",ag.siliana@bhbank.tn,159,153
SOUSSE BEJAOUI,Cap Bon & Nord,beja,"02 Avenue Commandant Bejaoui, Centre Urbain, Sousse.","71,127,440",ag.soussebejaoui@bhbank.tn,153,120
TABARKA,Cap Bon & Nord,jendouba,"12, Avenue Habib Bourguiba - 8110 - Tabarka","71,127,265",ag.tabarka@bhbank.tn,141,130
ZAGHOUAN,Cap Bon & Nord,zaghouan,02 Avenue 14 janvier - 1100 - Zaghouan,"71,127,279",ag.zaghouan@bhbank.tn,184,136
ZAOUIT JEDIDI,Cap Bon & Nord,nabeul,05 Avenue 20 Mars - 8099- Zaouiet-Jedidi,"71,127,276",ag.zaouietjedidi@bhbank.tn,207,136
CENTRE AFFAIRES SOUSSE,Sahel & Centre,sousse,CENTRE AFFAIRES SOUSSE SOUSSE,,,200,168
Centre d'Affaires Sousse,Sahel & Centre,sousse,26 Résidence El Hana Avenue Mongi Slim 4000 - Sousse Medina,"71,127,485",mohamedanouar.benhassine@bhbank.tn,199,164
CHOTT MERIAM,Sahel & Centre,sousse,14 Route Touristique Sousse-Hergla - 4042 - Akouda,"71,127,303",ag.chottmeriam@bhbank.tn,200,168
EL JEM,Sahel & Centre,monastir,02 Avenue Hédi Chaker -5160- El jem,"71,127,403",ag.eljem@bhbank.tn,206,171
JEMMEL,Sahel & Centre,monastir,45 Rue El Kassas - 5003 - Jemmel,"71,127,296",ag.jammel@bhbank.tn,203,169
KAIROUAN CENTRE,Sahel & Centre,mahdia,86 Avenue de Mahdia - 3100 - Kairouan,"71,127,310",ag.kairouan@bhbank.tn,214,184
KAIROUAN IBN EL JAZZAR,Sahel & Centre,kairouan,2 Rue Ibn El Jazzar - 3100- Kairouan,"71,127,239",ag.kairouan2@bhbank.tn,183,177
KALAA KEBIRA,Sahel & Centre,sousse,08 Avenue. Farhat Hached - 4060 - Kalaa Kebira,"71,127,251",ag.kalaakobra@bhbank.tn,202,167
KALAA SEGHIRA,Sahel & Centre,sousse,28 Avenue Habib Bourguiba - Kalà¢a Sghira,"71,127,434",ag.kalaasghira@bhbank.tn,200,165
KARKAR,Sahel & Centre,monastir,02 Rte Nationale GP1 -5112 - Karkar,"71,127,295",ag.karkar@bhbank.tn,207,167
KSAR HELLAL,Sahel & Centre,monastir,18 Angle Av. Habib Bourguiba et rue Hédi Nouira -5004- Ksar Helal,"71,127,297",ag.ksarhellal@bhbank.tn,206,171
KSSOUR ESSAF,Sahel & Centre,monastir,17 Bvrd de l'Environnement -5180 -Ksour Essef,"71,127,287",ag.ksouressef@bhbank.tn,205,171
MAHDIA,Sahel & Centre,mahdia,106 Avenue Habib Bourguiba - 5100 - Mahdia,"71,127,312",ag.mahdia@bhbank.tn,213,185
MOKNINE,Sahel & Centre,monastir,06 Avenue Habib Bourguiba - Moknine,"71,127,432",ag.moknine@bhbank.tn,203,170
MONASTIR I,Sahel & Centre,monastir,"12 Avenue Taieb M'hiri, Immeuble Medina - 5001 - Monastir","71,127,266",ag.monastir@bhbank.tn,205,170
MONASTIR Leader,Sahel & Centre,monastir,9 Rue du Leader - 5001 - Monastir,"71,127,311",ag.monastir2@bhbank.tn,205,170
MSAKEN,Sahel & Centre,sousse,05 Angle Avenue Taieb Hchichi et rue des oranges - 4070 - M'saken,"71,127,274",ag.msaken@bhbank.tn,200,169
Msaken Ennour,Sahel & Centre,sousse,Angle de l'avenue Taieb Hachicha et rue Gafsa,"71,127,479",ag.msakenennour@bhbank.tn,199,165
REGUEB,Sahel & Centre,sidi bouzid,"Avenue de l'environnement, Route Sidibouzid","71,127,473",ag.regueb@bhbank.tn,162,208
SAYEDA,Sahel & Centre,monastir,20 Avenue Habib Bourguiba -5035- Sayeda,"71,127,264",a.sayada@bhbank.tn,206,171
SBEITLA,Sahel & Centre,sidi bouzid,"14, Avenue du Parc","71,127,392",ag.sbitla@bhbank.tn,162,209
SFAX SAKIET EDDAYER,Sahel & Centre,mahdia,34 Aenue Hédi CHAKER Route de Mahdia km 7,"71,127,436",ag.sakieteddaier@bhbank.tn,216,184
SIDI BOUZID,Sahel & Centre,sidi bouzid,42 Avenue Habib Bourguiba - 9100- Sidi Bouzid,"71,127,269",ag.sidibouzid@bhbank.tn,166,209
SOUSSE CORNICHE,Sahel & Centre,sousse,"Angle de l'avenue Abdelhamid Belkhadi et de la rue El Qods, Sousse.","71,127,288",ag.soussecorniche@bhbank.tn,199,169
SOUSSE EL KANTAOUI,Sahel & Centre,sousse,10 Complexe Les maisons des jardins - 4011 - Hammam Sousse,"71,127,261",ag.elkantaoui@bhbank.tn,196,168
SOUSSE ERRIADH,Sahel & Centre,sousse,06 Cite Riadh - 4023 - Sousse Riadh,"71,127,301",ag.sousseriadh@bhbank.tn,200,168
SOUSSE HACHED,Sahel & Centre,sousse,14 Place Farhat Hached - 4000- Sousse Medina,"71,127,368",ag.soussehached@bhbank.tn,200,168
SOUSSE JAWHARA,Sahel & Centre,sousse,12 Angle Rues Ibn El Jazzar et Sakli-4000 - Sousse Medina,"71,127,304",a.jawhara@bhbank.tn,201,167
SOUSSE KHEZAMA,Sahel & Centre,sousse,10 Boulevard 14 Janvier - 4051 - Sousse Khezama,"71,127,299",ag.soussekhezama@bhbank.tn,204,171
SOUSSE MALL,Sahel & Centre,sousse,"Mall Of Sousse Route Nationale 1, Kalaa Kbira","71,127,467",ag.mallofsousse@bhbank.tn,202,166
SOUSSE MENCHIA,Sahel & Centre,sousse,"08 Avenue 14 Janvier, Route touristique Kantaoui, SOUSSE","71,127,448",ag.sousseelmenchia@bhbank.tn,197,170
SOUSSE SAHLOUL,Sahel & Centre,sousse,12 Avenue Farhat Hached Sahloul II - 4000 - Sousse Medina,"71,127,291",ag.soussesahloul@bhbank.tn,197,167
SOUSSE VILLE,Sahel & Centre,sousse,12 Place Farhat Hached Immeuble Hadhrumet - 4000 - Sousse Medina,"71,127,284",ag.sousseville@bhbank.tn,201,167
TEBOULBA,Sahel & Centre,monastir,02 Avenue Habib Bourguiba -5080- Téboulba,"71,127,253",a.teboulba@bhbank.tn,205,168
BIR LAHMAR,Sud & Sfax,tataouine,02 Angle Avenue Habib Bourguiba et rue Hannibal 3204 - Bir Lahmar Tataouine,"71,127,379",a.birlahmar@bhbank.tn,194,323
Centre d'Affaires Gabes,Sud & Sfax,gabes,"Rue Mongi Slim, immeuble Oumaima Centre 1er étage Bloc B, Gabes 6000","71,127,483",ezzeddine.ouerimi@bhbank.tn,182,273
Centre d'Affaires Sfax,Sud & Sfax,sfax,"Avenue de l'environnement, route de Gabes, Sfax","71,127,488",ahmed.mhiri@bhbank.tn,204,226
GABES,Sud & Sfax,gabes,174 Avenue Farhat Hached - 6000 - Gabés,"71,127,260",ag.gabes@bhbank.tn,183,277
Gabes Sud,Sud & Sfax,gabes,"Avenue Abu el Kacem Chebbi, 6011 Gabes","71,127,478",ag.gabessud@bhbank.tn,183,272
GAFSA,Sud & Sfax,gafsa,27 Avenue Taieb M'hiri -2100 -Gafsa,"71,127,319",ag.gafsa@bhbank.tn,141,243
Gafsa Ennour,Sud & Sfax,gafsa,Rue de Palestine Cité Ennour Gafsa,"71,127,481",ag.gafsaennour@bhbank.tn,136,239
JERBA MIDOUN,Sud & Sfax,medenine,48 Avenue Salah Ben Youssef - 4106 - Jerba-Midoun,"71,127,364",ag.midoun@bhbank.tn,199,301
JERBA MIDOUN BORGO,Sud & Sfax,medenine,JERBA MIDOUN BORGO DJERBA,,,195,300
KASSERINE,Sud & Sfax,kasserine,10 Avenue Taieb M'hiri -1200 - Kasserine,"71,127,352",ag.kasserine@bhbank.tn,139,202
KEBILI,Sud & Sfax,kebili,16 Rue Nalout Kebili 4200 - Kebili,"71,127,270",ag.kebili@bhbank.tn,145,281
MAHRES,Sud & Sfax,sfax,Route El Korniche,"71,127,469",ag.sfaxmahres@bhbank.tn,205,225
MARETH,Sud & Sfax,gabes,02 Avenue 27 Octobre - 6080 - Mareth - Gabes,"71,127,219",agence.mareth@bhbank.tn,184,272
MEDENINE,Sud & Sfax,medenine,6 Avenue Mansour El Houch Medenine,"71,127,375",ag.medenine@bhbank.tn,199,299
METLAOUI,Sud & Sfax,gafsa,86 Route Moulares - Gafsa,"71,127,384",ag.metlaoui@bhbank.tn,138,239
MOULARES,Sud & Sfax,gafsa,08 Avenue Farhat Hached - 2110 - Moulares,"71,127,377",a.moularas@bhbank.tn,139,242
SFAX CHIHIA,Sud & Sfax,sfax,"Route Teniour KM 5,5","71,126,466",ag.sfaxchihya@bhbank.tn,206,227
SFAX EL AIN,Sud & Sfax,sfax,"16 Route El Ain, Km 3.5, Sfax","71,127,454",agencesfaxrouteelain@bhbank.tn,204,228
SFAX HEDI CHAKER,Sud & Sfax,sfax,89 Angle Avenue Hedi Chaker Avenue Habib Thameur -3001- Sfax Ville,"71,127,262",a.sfaxchaker@bhbank.tn,205,229
SFAX JARDINS,Sud & Sfax,sfax,18 Cité Jardins Moulin Ville -3001 - Sfax Ville,"71,127,237",ag.sfaxjardins@bhbank.tn,207,223
SFAX JEDIDA,Sud & Sfax,sfax,22 Angle Av 14 Janvier Avenue des Martyrs,"71,127,381",ag.sfaxjedida@bhbank.tn,207,227
SFAX LAFRANE,Sud & Sfax,sfax,Route Lafrane KM4 Sfax,"71,127,461",ag.sfaxlafrane@bhbank.tn,203,225
SFAX MENZEL CHAKER,Sud & Sfax,sfax,"06 Route Menzel Chaker ""erramla center"" km 3,5 - 3000 - sfax","71,127,262",ag.menzelchaker@bhbank.tn,203,223
SFAX ROUTE DE GABES,Sud & Sfax,sfax,18 Avenue de l'environnement Route de Gabés -3003 - Sfax Sud,"71,127,292",ag.sfaxrtegabes@bhbank.tn,204,225
SFAX ROUTE DE GREMDA,Sud & Sfax,sfax,"16 Route Gremda ""Résidence LYNA"" km 6,5 -3080- sfax","71,127,402",ag.gremda@bhbank.tn,205,228
SFAX SIDI MANSOUR,Sud & Sfax,sfax,16 Route sidi Mansour Km2 -3015 - Sfax Sakiet Eddayer,"71,127,294",ag.sfaxsidimanssour@bhbank.tn,206,226
TATAOUINE,Sud & Sfax,tataouine,63 Avenue Farhat Hached 3207 - Tataouine Sud,"71,127,314",ag.tataouine@bhbank.tn,193,323
THALA KASSERINE,Sud & Sfax,kasserine,Angle de l'avenue Habib Bourguiba et rue de Palestine,71 127 486,ag.thala@bhbank.tn,139,204
THYNA,Sud & Sfax,sfax,Route de Gabes Km 7,"71,127,463",ag.sfaxthyna@bhbank.tn,206,224
TOZEUR,Sud & Sfax,tozeur,12 Avenue Farhat Hached - 2200 - Tozeur,"71,127,281",ag.tozeur@bhbank.tn,119,269
ZARZIS,Sud & Sfax,medenine,12 Avenue Farhat Hached - 4104 - Zarzis,"71,127,283",ag.zarzis@bhbank.tn,197,301
