name,address,contact,email
SFAX CHIHIA,"Route Teniour KM 5,5","71,126,466",ag.sfaxchihya@bhbank.tn
MANZAH 5,"08 Avenue de la Liberté, Kssar Tej, EL Menzah 5, Ariana.","71,127,446",agencecarnoy@bhbank.tn
ENNASR 2,"18 Résidence TEJ, Immeuble B, Route Etturki, Ennasser II, Ariana","71,127,452",ag.ennasr2@bhbank.tn
SFAX EL AIN,"16 Route El Ain, Km 3.5, Sfax","71,127,454",agencesfaxrouteelain@bhbank.tn
SOUSSE MENCHIA,"08 Avenue 14 Janvier, Route touristique Kantaoui, SOUSSE","71,127,448",ag.sousseelmenchia@bhbank.tn
NEFZA,"06 Avenue Habib Bourguiba, NEFZA, BEJA.","71,127,450",ag.nefza@bhbank.tn
MENZAH 8,"22 Angle de l'avenue Mustapha Hjeij et de la Rue kehna, EL MENZAH 8, ARIANA","71,127,444",ag.elmenzah8@bhbank.tn
DJEBEL EL OUEST,"12 Avenue Tahar Ayari, DJEBEL EL OUEST - ZAGHOUAN.","71,127,456",ag.jebeleloust@bhbank.tn
SFAX SIDI MANSOUR,16 Route sidi Mansour Km2 -3015 - Sfax Sakiet Eddayer,"71,127,294",ag.sfaxsidimanssour@bhbank.tn
SFAX ROUTE DE GABES,18 Avenue de l'environnement Route de Gabés -3003 - Sfax Sud,"71,127,292",ag.sfaxrtegabes@bhbank.tn
SFAX JEDIDA,22 Angle Av 14 Janvier Avenue des Martyrs,"71,127,381",ag.sfaxjedida@bhbank.tn
SFAX MENZEL CHAKER,"06 Route Menzel Chaker ""erramla center"" km 3,5 - 3000 - sfax","71,127,262",ag.menzelchaker@bhbank.tn
SFAX ROUTE DE GREMDA,"16 Route Gremda ""Résidence LYNA"" km 6,5 -3080- sfax","71,127,402",ag.gremda@bhbank.tn
SFAX SAKIET EDDAYER,34 Aenue Hédi CHAKER Route de Mahdia km 7,"71,127,436",ag.sakieteddaier@bhbank.tn
MEDENINE,6 Avenue Mansour El Houch Medenine,"71,127,375",ag.medenine@bhbank.tn
BEN GUERDANE,12 Avenue deTunis - 4103 - Ben Guerdane,"71,127,366",ag.benguerdane@bhbank.tn
JERBA MIDOUN,48 Avenue Salah Ben Youssef - 4106 - Jerba-Midoun,"71,127,364",ag.midoun@bhbank.tn
BIR LAHMAR,02 Angle Avenue Habib Bourguiba et rue Hannibal 3204 - Bir Lahmar Tataouine,"71,127,379",a.birlahmar@bhbank.tn
SFAX Cdt BEJAOUI,10 Rue CommandantBejaoui -3000- Sfax Ville,"71,127,215",ag.sfaxbejaoui@bhbank.tn
SFAX JARDINS,18 Cité Jardins Moulin Ville -3001 - Sfax Ville,"71,127,237",ag.sfaxjardins@bhbank.tn
SFAX HEDI CHAKER,89 Angle Avenue Hedi Chaker Avenue Habib Thameur -3001- Sfax Ville,"71,127,262",a.sfaxchaker@bhbank.tn
SFAX SAKIT EZZIT,48 Route Tunis Km 8 Centre EsseDIRECTION REGIONALEa -3014 - Sfax Sakiet Ezziet,"71,127,293",a.sekietezzit@bhbank.tn
GABES,174 Avenue Farhat Hached - 6000 - Gabés,"71,127,260",ag.gabes@bhbank.tn
ZARZIS,12 Avenue Farhat Hached - 4104 - Zarzis,"71,127,283",ag.zarzis@bhbank.tn
MARETH,02 Avenue 27 Octobre - 6080 - Mareth - Gabes,"71,127,219",agence.mareth@bhbank.tn
TATAOUINE,63 Avenue Farhat Hached 3207 - Tataouine Sud,"71,127,314",ag.tataouine@bhbank.tn
SAYEDA,20 Avenue Habib Bourguiba -5035- Sayeda,"71,127,264",a.sayada@bhbank.tn
KSSOUR ESSAF,17 Bvrd de l'Environnement -5180 -Ksour Essef,"71,127,287",ag.ksouressef@bhbank.tn
KARKAR,02 Rte Nationale GP1 -5112 - Karkar,"71,127,295",ag.karkar@bhbank.tn
JEMMEL,45 Rue El Kassas - 5003 - Jemmel,"71,127,296",ag.jammel@bhbank.tn
KSAR HELLAL,18 Angle Av. Habib Bourguiba et rue Hédi Nouira -5004- Ksar Helal,"71,127,297",ag.ksarhellal@bhbank.tn
EL JEM,02 Avenue Hédi Chaker -5160- El jem,"71,127,403",ag.eljem@bhbank.tn
MOKNINE,06 Avenue Habib Bourguiba - Moknine,"71,127,432",ag.moknine@bhbank.tn
SBEITLA,"14, Avenue du Parc","71,127,392",ag.sbitla@bhbank.tn
METLAOUI,86 Route Moulares - Gafsa,"71,127,384",ag.metlaoui@bhbank.tn
MONASTIR I,"12 Avenue Taieb M'hiri, Immeuble Medina - 5001 - Monastir","71,127,266",ag.monastir@bhbank.tn
MONASTIR Leader,9 Rue du Leader - 5001 - Monastir,"71,127,311",ag.monastir2@bhbank.tn
MAHDIA,106 Avenue Habib Bourguiba - 5100 - Mahdia,"71,127,312",ag.mahdia@bhbank.tn
TEBOULBA,02 Avenue Habib Bourguiba -5080- Téboulba,"71,127,253",a.teboulba@bhbank.tn
MOULARES,08 Avenue Farhat Hached - 2110 - Moulares,"71,127,377",a.moularas@bhbank.tn
KASSERINE,10 Avenue Taieb M'hiri -1200 - Kasserine,"71,127,352",ag.kasserine@bhbank.tn
SOUSSE BEJAOUI,"02 Avenue Commandant Bejaoui, Centre Urbain, Sousse.","71,127,440",ag.soussebejaoui@bhbank.tn
KALAA SEGHIRA,28 Avenue Habib Bourguiba - Kalà¢a Sghira,"71,127,434",ag.kalaasghira@bhbank.tn
SIDI BOUZID,42 Avenue Habib Bourguiba - 9100- Sidi Bouzid,"71,127,269",ag.sidibouzid@bhbank.tn
TOZEUR,12 Avenue Farhat Hached - 2200 - Tozeur,"71,127,281",ag.tozeur@bhbank.tn
GAFSA,27 Avenue Taieb M'hiri -2100 -Gafsa,"71,127,319",ag.gafsa@bhbank.tn
KEBILI,16 Rue Nalout Kebili 4200 - Kebili,"71,127,270",ag.kebili@bhbank.tn
SOUSSE JAWHARA,12 Angle Rues Ibn El Jazzar et Sakli-4000 - Sousse Medina,"71,127,304",a.jawhara@bhbank.tn
CHOTT MERIAM,14 Route Touristique Sousse-Hergla - 4042 - Akouda,"71,127,303",ag.chottmeriam@bhbank.tn
HAMMAM SOUSSE,22 Route de Tunis GP1 - 4011 - H. Sousse,"71,127,302",ag.hammamsousse@bhbank.tn
SOUSSE ERRIADH,06 Cite Riadh - 4023 - Sousse Riadh,"71,127,301",ag.sousseriadh@bhbank.tn
SOUSSE SAHLOUL,12 Avenue Farhat Hached Sahloul II - 4000 - Sousse Medina,"71,127,291",ag.soussesahloul@bhbank.tn
KAIROUAN IBN EL JAZZAR,2 Rue Ibn El Jazzar - 3100- Kairouan,"71,127,239",ag.kairouan2@bhbank.tn
KAIROUAN CENTRE,86 Avenue de Mahdia - 3100 - Kairouan,"71,127,310",ag.kairouan@bhbank.tn
SOUSSE HACHED,14 Place Farhat Hached - 4000- Sousse Medina,"71,127,368",ag.soussehached@bhbank.tn
SOUSSE CORNICHE,"Angle de l'avenue Abdelhamid Belkhadi et de la rue El Qods, Sousse.","71,127,288",ag.soussecorniche@bhbank.tn
SOUSSE KHEZAMA,10 Boulevard 14 Janvier - 4051 - Sousse Khezama,"71,127,299",ag.soussekhezama@bhbank.tn
SOUSSE VILLE,12 Place Farhat Hached Immeuble Hadhrumet - 4000 - Sousse Medina,"71,127,284",ag.sousseville@bhbank.tn
SOUSSE EL KANTAOUI,10 Complexe Les maisons des jardins - 4011 - Hammam Sousse,"71,127,261",ag.elkantaoui@bhbank.tn
KALAA KEBIRA,08 Avenue. Farhat Hached - 4060 - Kalaa Kebira,"71,127,251",ag.kalaakobra@bhbank.tn
MSAKEN,05 Angle Avenue Taieb Hchichi et rue des oranges - 4070 - M'saken,"71,127,274",ag.msaken@bhbank.tn
BOUFICHA,12 Avenue de l'environnement - 4010- Bouficha,"71,127,235",ag.bouficha@bhbank.tn
KELIBIA,Avenue des Martyrs - 8090 - Kélibia,"71,127,233",ag.kelibia@bhbank.tn
DAR CHAABANE,40 Boulevard de l'environnement Dar Chaabane Plage 8075 - Dar Chaabane El Fehri,"71,127,316",ag.darchaaben@bhbank.tn
KORBA,18 Avenue Habib Bourguiba - 8070- Korba,"71,127,339",a.korba@bhbank.tn
MENZEL TEMIME,06 Avenue de l'environnement - 8080 - Menzel Temime,"71,127,326",ag.menzeltemime@bhbank.tn
MREZGA,02 Résidence AGORAMIS - 8050 Mrezga,"71,127,407",ag.mrazga@bhbank.tn
TABARKA,"12, Avenue Habib Bourguiba - 8110 - Tabarka","71,127,265",ag.tabarka@bhbank.tn
NABEUL,30 Avenue Habib Bourguiba - 8000- Nabeul,"71,127,277",ag.nabeul@bhbank.tn
HAMMAMET,10 Avenue Habib Bourguiba 8050 - Hammamet,"71,127,243",ag.hammamet@bhbank.tn
GROMBELIA,08 Avenue Habib Bourguiba - 8030- Grombalia,"71,127,278",ag.grombalia@bhbank.tn
ZAGHOUAN,02 Avenue 14 janvier - 1100 - Zaghouan,"71,127,279",ag.zaghouan@bhbank.tn
ZAOUIT JEDIDI,05 Avenue 20 Mars - 8099- Zaouiet-Jedidi,"71,127,276",ag.zaouietjedidi@bhbank.tn
BEJA,20 Angle Avenue Habib Bourguiba rue Tarek Ibn Zied - 9000 - Beja,"71,127,289",ag.beja@bhbank.tn
EL KEF,08 Boulevard Mongi Slim -7100 - Le Kef,"71,127,231",ag.lekef@bhbank.tn
SILIANA,02 Avenue 18 Janvier 1952- 6100 - Siliana,"71,127,298",ag.siliana@bhbank.tn
BOUSALEM,08 Avenue. 20 Mars 1934 - 8170 - Boussalem,"71,127,241",a.boussalem@bhbank.tn
MEDJEZ ELBAB,22 Avenue Habib Bourguiba - 9070 - Mjez El Bab,"71,127,249",ag.mejazelbab@bhbank.tn
RAFRAF,14 Place Rmila - Rafraf 7015 - Ras Jbel,"71,127,305",ag.rafraf@bhbank.tn
MATEUR,18 Avenue Taieb Mhiri 7030 - Mateur,"71,127,306",ag.mateur@bhbank.tn
BIZERTE ERRAWABI,16 Avenue 15 Octobre Cité Rawebi - 7000 - Bizerte Nord,"71,127,335",a.rawebi@bhbank.tn
MENZEL ABDERRAHMEN,07 Avenue Habib Bourguiba- Route Manzel Jemil 7035 - Menzel Jmil,"71,127,345",a.menzelabderrahmen@bhbank.tn
RAS JEBEL,12 Rue Hassen Belkhouja -7070- Ras Jebel,"71,127,354",ag.rasjebel@bhbank.tn
JENDOUBA,61 Avenue Hédi Chaker -8100- Jendouba,"71,127,360",ag.jendouba@bhbank.tn
AOUSJA,12 Avenue de L'environnement 7014 - Ghar El Melh,"71,127,307",ag.aousja@bhbank.tn
BIZERTE IBN KHALDOUN,08 Angle Rue d'Alger et rue d'Espagne 7000 - Bizerte Nord,"71,127,315",ag.bizerteibnkhaldoun@bhbank.tn
MENZEL BOURGUIBA,05 Avenue de l'independance 7050 - Menzel Bourguiba,"71,127,268",ag.menzelbourguiba@bhbank.tn
BIZERTE THAALBI,62 Angle Avenue Habib Bourguiba Et rue Thaalbi -7000 - Bizerte Nord,"71,127,347",ag.bizertethaalbi@bhbank.tn
M'HAMDIA,N°20 GP3 M'hamdia Center 1145 - M'hamdia,,
L'AOUINA,02 RÃ©sidence Jannet II Route RVE 544 -2045 - La Goulette,,
BOUMHAL,48 Avenue de l'environnement - 2097 Boumhal,"71,127,390",ag.boumhel@bhbank.tn
HAMMAM-LIF,14 Avenue de la République -2050 - Hammam-Lif,"71,127,224",a.hammamlif@bhbank.tn
EL MOUROUJ,02 Avenue Habib Thameur Imm-Mahou 2308 - El Mourouj,"71,127,331",ag.elmourouj@bhbank.tn
EL MOUROUJ 5,08 Avenue 14 Janvier - Mourouj V 2308 - El Mourouj,"71,127,325",ag.elmourouj5@bhbank.tn
EL M'GHIRA,"12 Centre de vie, Zone Ind M'ghira 3 -2082 - Fouchana","71,127,324",ag.elmghira@bhbank.tn
SIDI HCIN SIJOUMI,113 Rue 42800 Route El Attar 1095 - Sidi H Sijoumi,"71,127,309",ag.sidihssinesijoumi@bhbank.tn
EL YASMINETTE,"02 Angle de la Rue Ibn Roched et la Route de Mornag, El Yasminette, BEN AROUS","71,127,438",ag.yasminett@bhbank.tn
EZZAHRA,08 Angle Avenue Habib Bourguiba et rue 25 juillet -2034 - Ezzahra,"71,127,252",ag.ezzahra@bhbank.tn
BEN AROUS,02 Angle Avenue de France et Rue d'Alger - 2300- Ben Arous,"71,127,203",ag.benarous@bhbank.tn
RADES,NÂ°5 Radés Cité Sportive 2040 - Radés,"71,127,250",ag.rades@bhbank.tn
HAMMAM CHOTT,20 Résidence Imen - 2310 - Hammam Chott,"71,127,271",ag.hammamchatt@bhbank.tn
MEGRINE,02 Avenue Habib Bourguiba - 2033 - Mégrine,"71,127,222",ag.megrine@bhbank.tn
NOUVELLE MEDINA,304 Avenue Faycal Ibn Abdelaziz - 2063 - Nlle Médina,"71,127,225",ag.nouvellemedina@bhbank.tn
BIR KASSAA,12 Rue du lin Bab Tounes -2059 - Bir El Kassaa,"71,127,246",ag.birelkassaa@bhbank.tn
JARDINS DE CARTHAGE,"08 Résidence ""Horizons de Carthage"" Lot EHC - Les Jardins de Carthage","71,127,426",ag.jardincarthage@bhbank.tn
LA MANOUBA,50 Avenue Habib Bourguiba - 2010- La Manouba,"71,127,290",ag.manouba@bhbank.tn
JARDINS D'EL MENZAH,"10 Avenue Les Jasmins, Res Marajene - 2094- Mnihla","71,127,313",ag.jardins-elmenzah@bhbank.tn
LES BERGES DU LAC I,"05 Residence Essaad, rue Lac Leman -1035 Les Berges du Lac","71,127,322",ag.lac1@bhbank.tn
SIDI DAOUED,20 Route de La Marsa - 2046- Sidi Daoued,"71,127,356",ag.sididaoued@bhbank.tn
MANAR II,"5, Rue Tahar Ben ammar - 2092 - Manar II","71,127,388",ag.manar2@bhbank.tn
M'NIHLA,06 route de bizerte km 8- M'nihla,"71,127,420",ag.mnihla@bhbank.tn
EL GHAZELA,14 angle rues hasDIRECTION REGIONALEubal et Ammar DAKHLAOUI -Cité El Ghazela,"71,127,424",ag.elghazala@bhbank.tn
ARIANA CITE LES ROSE,4 Avenue Mohamed Salah Belhaj- Cité les Roses 2080 - Ariana,"71,127,205",ag.ariana@bhbank.tn
ARIANA VILLE,02 Avenue Habib Bourguiba - 2080 - Ariana,"71,127,223",ag.arianaville@bhbank.tn
LA MARSA,08 Avenue Habib Bourguiba La Marsa 2070 - La Marsa,"71,127,227",ag.marsa@bhbank.tn
KHEIREDINE,117 Avenue Habib Bourguiba - 2015- Le Kram,"71,127,245",ag.kheireddine@bhbank.tn
MENZAH 6,3 rue Cheikh Med Zaghouani - 1091 - El Menzah,"71,127,333",ag.elmenzahv@bhbank.tn
ENNASR 1,12 Avenue de l'Ere Nlle Résidence Salambo 2100 - L'Ariana,"71,127,275",ag.ennacer@bhbank.tn
CITE EZZOUHOUR,14 Avenue 13 Aoà»t - cité Ezzouhour,"71,127,430",ag.ezzouhour@bhbank.tn
CHARGUIA,42 Rue 8600 Z.I Charguia 1-Tunis 2035 - Cité El Khadhra,"71,127,337",ag.charguia@bhbank.tn
CHARGUIA II,08 Rue des industries artisanales - 2035 La Charguia II,"71,127,395",ag.charguia2@bhbank.tn
MENZAH IV,"2, Angle de la rue Ibn Syrine et avenue Habib Bourguiba 1004 Menzah 4","71,127,386",ag.menzah4@bhbank.tn
LES BERGES DU LAC 2,06 Immeuble ACCESS - Angle de l'avenue de la Monnaie et rue iles des Canaries - Les Berges du Lac 2,"71,127,428",ag.lac2@bhbank.tn
LA SOUKRA,22 Avenue de l'U.M.A. Résidence Soukra City,"71,127,422",ag.soukra@bhbank.tn
KHAZNADAR,08 Avenue de L'independance Immeuble Star - 2000 - Le Bardo,"71,127,341",ag.khaznadar@bhbank.tn
ETTADHAMEN,"12 Route de Bizerte km 3,5- Cité El Intilaka 2094 -M'nihla","71,127,247",a.ettadhamen@bhbank.tn
AHMED TLILI,20 Angle Rue Ahmed Tlili et Avenue Ibn Khaldoun - 1001 - Tunis Médina,"71,127,273",a.ahmedtlili@bhbank.tn
ALAIN SAVARY,10 Angle Avenue Alain Savary et Voie X2 Tunis - 1003 - Cité El KhaDIRECTION REGIONALEa,"71,127,272",a.alainsavary@bhbank.tn
BEB SAADOUN,12 Boulvard 9 Avril 1006 Tunis- Bab Saadoun,"71,127,209",ag.babsaadoun@bhbank.tn
AVENUE DE LONDRES,70 Avenue de LonDIRECTION REGIONALEes - Tunis 1006 - Bab Souika,"71,127,214",ag.avedelondres@bhbank.tn
HEDI CHAKER,85 Avenue Hédi Chaker -1002 - Tunis Bélvedére,"71,127,308",ag.diplomat@bhbank.tn
LE BARDO,60 Avenue Habib Bougatfa - Le Bardo - 2000 - Tunis,"71,127,343",a.lebardo@bhbank.tn
CENTRE URBAIN TUNIS NORD,45 Immeuble SALIM Lotiss AFH BC5 - Centre Urbain Nord Tunis - 2035 - Cité El Khadhra,"71,127,327",a.centreurbainnord@bhbank.tn
CENTRE D'AFFAIRES HEDI NOUIRA,29 Rue Hedi Nouira Tunis 1002 -Tunis,"71,126,611",succursale.commercialekp@bhbank.tn
SUCCURSALE KHEIREDDINE PACHA,21 Avenue Khereddine Pacha -Tunis Bélvedére -1002,"71,126,722",succursale1@bhbank.tn
HABIB BOURGUIBA,05 Angle Avenue Habib Bourguiba et avenue de Paris 1001 - Tunis Médina,"71,127,230",succursale2@bhbank.tn
INTERNATIONAL,"11 Espace Tunis, Immeuble K- Montplaisir -1002 - Tunis Bélvedére","71,127,244",ag.internationale@bhbank.tn
AVENUE DE CARTHAGE,23 Avenue de Carthage - 1001 - Tunis Médina,"71,127,207",ag.avenuecarthage@bhbank.tn
BHBANK SIEGE,29 Rue Hedi Nouira Tunis 1002 -Tunis,"71,126,611",contact@bhbank.tn
LE KRAM,155 Bis Avenue Habib Bourguiba Le Kram 2015 - Tunis,"71,127,267",ag.lekram@bhbank.tn
MUTUELLE VILLE,"12 Angle avenue Jugurta et rue Sanhaja, Mutuelle ville Tunis","71,127,442",ag.mutuelleville@bhbank.tn
CHEDLY KALLALA,Angle de l'avenue Chedly Kallela et de la rue Oman,"71,127,471",ag.chedlykallala@bhbank.tn
DR GABES,Direction régionale,71127260,d.gabes@bhbank.tn
DR BIZERTE,Direction régionale,71127315,d.bizerteibnkhaldoun@bhbank.tn
DR TUNIS SUD,Direction régionale,71127250,d.tunis-sud@bhbank.tn
DR TUNIS nord,Direction régionale,71127322,d.tunis-nord@bhbank.tn
DR TUNIS VILLE,Direction régionale,71127322,d.tunis-medina@bhbank.tn
